District,Block,Gram Panchayat,Village,Habitation,New Location,PWS Scheme Code,PWS Scheme Name,Latitude,Longitude,Sample Id,Fluoride (mg/l)in TW water sample ,Total Coliform (CFU/100ml) in TW water sample 
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,DHANARA,DHANARA,NO,,,23.5705267,86.56622,2010189,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,BANDA,BAMDA,NO,,,23.5993313,86.5651594,2010199,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,BANDA,BAMDA,NO,,,23.5934917,86.5665533,2010203,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,DHANARA,DHANARA,NO,,,23.5706683,86.5643517,2010193,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,DHANARA,DHANARA,NO,,,23.5689383,86.56821,2010187,,0
PURULIA,ARSHA,SIRKABAD,AHARARA,AHARRAH,NO,SM/00314,SIRKABAD PIPED WATER SUPPLY SCHEME,23.2985713,86.2069237,2020270,,0
PURULIA,ARSHA,SIRKABAD,BHELAIDIH,VELAIDIH,NO,SM/00314,SIRKABAD PIPED WATER SUPPLY SCHEME,23.28049,86.181122,2020269,,0
PURULIA,ARSHA,SIRKABAD,SIRKABAD,SHIRKABAD,NO,SM/00314,SIRKABAD PIPED WATER SUPPLY SCHEME,23.2798999,86.1896938,2020268,,0
PURULIA,ARSHA,SIRKABAD,SIRKABAD,SHIRKABAD,NO,SM/00314,SIRKABAD PIPED WATER SUPPLY SCHEME,23.2766808,86.2008283,2020267,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,BANDA,BAMDA,NO,SM/04579,IMPLEMENTATION OF DUAL - USE SOLAR PUMP PIPED WATER SUPPLY SCHEMES IN STATE OF WEST BENGAL.,23.5995365,86.5598048,2010195,,25
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,DHANARA,DHANARA,NO,SM/04579,IMPLEMENTATION OF DUAL - USE SOLAR PUMP PIPED WATER SUPPLY SCHEMES IN STATE OF WEST BENGAL.,23.5704617,86.5668083,2010194,,5
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,BANDA,BAMDA,NO,SM/04579,IMPLEMENTATION OF DUAL - USE SOLAR PUMP PIPED WATER SUPPLY SCHEMES IN STATE OF WEST BENGAL.,23.596945,86.5662867,2010201,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,BANDA,BAMDA,NO,SM/04579,IMPLEMENTATION OF DUAL - USE SOLAR PUMP PIPED WATER SUPPLY SCHEMES IN STATE OF WEST BENGAL.,23.5977584,86.565641,2010200,,0
PURULIA,RAGHUNATHPUR - II,MANGALDA MOUTORE,DHANARA,DHANARA,NO,SM/04579,IMPLEMENTATION OF DUAL - USE SOLAR PUMP PIPED WATER SUPPLY SCHEMES IN STATE OF WEST BENGAL.,23.5721961,86.5627229,2010191,,0
PURULIA,PURULIA - II,PINDRA,MAHARA,JITDIH,NO,,,23.3310517,86.4236589,1030369,1.86,0
PURULIA,BARABAZAR,BANJORA,BANJORA,BAN JORA,NO,,,23.1047965,86.4567952,2070345,1.469,0
PURULIA,PURULIA - II,PINDRA,MAHARA,MAHARA,NO,,,23.3289567,86.429545,1030367,1.43,0
PURULIA,PARA,BAHARA,KHARIKABAD,KHARIKABAID,NO,,,23.5505084,86.3856886,2050305,1.32,0
PURULIA,BARABAZAR,BANJORA,ULDA,ULDA,NO,,,23.1199603,86.4659023,2070347,1.093,0
PURULIA,PURULIA - II,PINDRA,MAHARA,MAHARA,NO,,,23.328985,86.4284545,1030368,1.08,0
PURULIA,PUNCHA,JAMBAD,BANSA,KULDI,NO,,,23.1674399,86.579995,0280616,1.08,0
PURULIA,BARABAZAR,BANJORA,ULDA,ULDA,NO,,,23.1247917,86.4587183,2070350,1.065,0
PURULIA,BARABAZAR,BANJORA,ULDA,ULDA,NO,,,23.1203363,86.466154,2070346,1.027,2
PURULIA,PURULIA - II,PINDRA,MAHARA,MAHARA,NO,,,23.3296567,86.4277283,1030371,1.01,0
PURULIA,BARABAZAR,BANJORA,BANDUAN,BANDWAN,NO,,,23.0834392,86.4612067,2070362,0.916,0
PURULIA,PARA,BAHARA,KHARIKABAD,KHARIKABAID,NO,,,23.5510833,86.3845683,2050304,0.89,0
PURULIA,PARA,BAHARA,FATEPUR,FATEPUR,NO,,,23.5520833,86.3871017,2050300,0.84,0
PURULIA,ARSHA,HETGUGUI,UPARJARI,UPARJARI,NO,,,23.3177,86.1098567,2020213,0.81,0
PURULIA,BARABAZAR,BANJORA,BANJORA,BAN JORA,NO,,,23.096617,86.4540579,2070344,0.802,0
PURULIA,BALARAMPUR,GHATBERA-KEROWA,TILAI,TILAI,NO,,,23.181075,86.252115,310207,0.8,0
PURULIA,BARABAZAR,BANJORA,ULDA,ULDA,NO,,,23.1262127,86.455854,2070352,0.758,0
PURULIA,PARA,BAHARA,KHARIKABAD,KHARIKABAID,NO,,,23.54849,86.3873967,2050303,0.75,0
PURULIA,ARSHA,HETGUGUI,UPARJARI,UPARJARI,NO,,,23.3177967,86.10892,2020214,0.71,0
PURULIA,BARABAZAR,BANJORA,RANIPUKUR,RANI PUKUR,NO,,,23.0952402,86.466933,2070342,0.71,0
PURULIA,BALARAMPUR,GHATBERA-KEROWA,TILAI,TILAI,NO,,,23.1796983,86.248565,310208,0.7,0
PURULIA,ARSHA,HETGUGUI,TARI,TARI,NO,,,23.3192401,86.11779,2020212,0.69,0
PURULIA,BARABAZAR,BANJORA,BANDUAN,BANDWAN,NO,,,23.0812431,86.4543254,2070357,0.682,0
PURULIA,BARABAZAR,BANJORA,BANDUAN,BANDWAN,NO,,,23.0866587,86.4559661,2070356,0.678,0
PURULIA,BARABAZAR,BANJORA,BANDUAN,BANDWAN,NO,,,23.086995,86.4548683,2070355,0.677,0
PURULIA,ARSHA,HETGUGUI,TARI,TARI,NO,,,23.319395,86.118585,2020211,0.66,0
PURULIA,PUNCHA,JAMBAD,BANSA,KULDI,NO,,,23.1665526,86.5816628,0280617,0.66,0
PURULIA,BARABAZAR,BANJORA,BANDUAN,BANDWAN,NO,,,23.0836403,86.4585508,2070359,0.653,0
PURULIA,BUNDWAN,BANDWAN,BANDOAN,BANDWAN,NO,,,22.873194,86.5034948,290300,0.64,0
PURULIA,PURULIA - II,PINDRA,MAHARA,PATHARDIH,NO,,,23.3249733,86.4283321,1030373,0.626,0
PURULIA,BUNDWAN,BANDWAN,BANDOAN,BANDWAN,NO,,,22.874743,86.5069454,290309,0.62,0
PURULIA,PARA,NADIHA SURULIA,PANARA,PANARA,NO,,,23.49326,86.3861118,2050284,0.6,0
PURULIA,BARABAZAR,BANJORA,BANDUAN,BANDWAN,NO,,,23.0824483,86.4532167,2070358,0.579,0
PURULIA,PARA,BAHARA,BAHARA,BAHARA,NO,,,23.5555013,86.3995751,2050297,0.57,0
PURULIA,BUNDWAN,BANDWAN,BANDOAN,BANDWAN,NO,,,22.8727566,86.5066578,290303,0.57,0
PURULIA,PURULIA - II,PINDRA,MAHARA,MAHARA,NO,,,23.3296561,86.4270442,1030372,0.552,8
PURULIA,PUNCHA,JAMBAD,BANSA,BANSATOLA GUGUITAR,NO,,,23.1713503,86.6015866,0280601,0.55,0
PURULIA,BARABAZAR,BANJORA,BANJORA,BAN JORA,NO,,,23.0996819,86.4567802,2070343,0.541,0
PURULIA,BARABAZAR,BANJORA,RANIPUKUR,RANI PUKUR,NO,,,23.0950902,86.4670731,2070341,0.536,0
PURULIA,PARA,BAHARA,BAHARA,BAHARA,NO,,,23.560835,86.39967,2050291,0.53,0
PURULIA,PARA,BAHARA,DALAHITANR,DALAHITARD,NO,,,23.5430033,86.3753398,2050306,0.53,0
PURULIA,BARABAZAR,BANJORA,ULDA,ULDA,NO,,,23.124025,86.4614267,2070348,0.501,0
PURULIA,PARA,BAHARA,FATEPUR,FATEPUR,NO,,,23.5618697,86.3996117,2050288,0.5,0
PURULIA,PURULIA - II,PINDRA,MAHARA,JITDIH,NO,,,23.3304406,86.4253434,1030370,0.482,0
PURULIA,PARA,BAHARA,KHARIKABAD,KHARIKABAID,NO,,,23.5472536,86.3876342,2050302,0.48,0
PURULIA,PARA,BAHARA,DALAHITANR,DALAHITARD,NO,,,23.54105,86.3762633,2050307,0.48,50
PURULIA,BARABAZAR,BANJORA,ULDA,ULDA,NO,,,23.1263417,86.4518617,2070354,0.476,0
PURULIA,BARABAZAR,BANJORA,ULDA,ULDA,NO,,,23.1256118,86.4528859,2070353,0.462,0
